Date,Price,Open,High
8/3/2017,2734.3,2702,2750
8/2/2017,2702,2733.8,2757.8
8/1/2017,2731.2,2854.3,2901.6
7/31/2017,2856,2748.9,2883.5
7/30/2017,2749,2713.7,2756.2
7/29/2017,2714.1,2784.8,2794.2
7/28/2017,2784.8,2664.6,2819.9
7/27/2017,2664.9,2527.7,2682.2
7/26/2017,2525.7,2560.9,2612
7/25/2017,2560.9,2769.7,2790.1
7/24/2017,2769.7,2750.1,2812
7/23/2017,2747.5,2845.7,2875.7
7/22/2017,2845.7,2659,2912.9
7/21/2017,2664,2874.5,2874.5
7/20/2017,2856.3,2253.3,2919.9
7/19/2017,2253.1,2302.2,2399.9
7/18/2017,2302.1,2220,2380.2
7/17/2017,2219,1925,2223.3
7/16/2017,1924.9,1979.7,2048.8
7/15/2017,1978.6,2206.5,2210.1
7/14/2017,2205.1,2329.4,2345.6
7/13/2017,2329,2375.6,2400
7/12/2017,2374.4,2285.6,2394
7/11/2017,2282.1,2318.3,2372.8
7/10/2017,2318.3,2477.9,2498.1
7/9/2017,2478,2542,2555.6
7/8/2017,2542,2479.3,2542.6
7/7/2017,2479.3,2593.2,2598
7/6/2017,2593.1,2598.6,2603.3
7/5/2017,2598.5,2579.9,2617.6
7/4/2017,2582.6,2525.9,2628
7/3/2017,2524,2445.1,2584
7/2/2017,2445,2346.2,2470
7/1/2017,2349.5,2420.6,2440.9
6/30/2017,2420.7,2472.4,2511.1
6/29/2017,2470.1,2518.2,2537
6/28/2017,2518.2,2521.3,2561.1
6/27/2017,2521.2,2393.5,2524
6/26/2017,2394.6,2480,2510.4
6/25/2017,2477.7,2502.6,2595
6/24/2017,2502.6,2674.9,2700
6/23/2017,2674.9,2672.8,2725.3
6/22/2017,2672.8,2624.4,2709
6/21/2017,2621.2,2715.3,2760
6/20/2017,2712.2,2585,2779.6
6/19/2017,2580.8,2494.9,2592.7
6/18/2017,2491.5,2610.1,2635
6/17/2017,2610,2435.5,2636.9
6/16/2017,2437,2377.5,2480
6/15/2017,2377.4,2394.3,2455
6/14/2017,2395,2677.1,2720
6/13/2017,2676.4,2570,2730
6/12/2017,2571.8,2941.8,2961.9
6/11/2017,2936.3,2806,3000
6/10/2017,2806,2809.9,2890.5
6/9/2017,2809,2781.5,2849.8
6/8/2017,2782.1,2642,2789.3
6/7/2017,2642.6,2844.6,2850
6/6/2017,2843.6,2636.9,2896.5
6/5/2017,2636.2,2488.2,2637.5
6/4/2017,2488.2,2461.6,2498
6/3/2017,2461,2405.9,2481
6/2/2017,2405.9,2312,2407.8
6/1/2017,2311.6,2191.8,2366.7
